318 1822855 4620
317 1816722 6133
316 1810996 5726
315 1804447 6549
314 1798512 5935
313 1791853 6659
312 1787778 4075
311 1782500 5278
310 1764089 18411
309 1758091 5998
308 1752412 5679
307 1746825 5587
306 1740705 6120
305 1739208 1497
304 1726047 13161
303 1714587 11460
302 1714285 302
301 1713826 459
300 1713053 773
299 1698699 14354
298 1691893 6806
297 1683369 8524
296 1680417 2952
295 1675965 4452
294 1672647 3318
293 1669082 3565
292 1664489 4593
291 1662449 2040
290 1660062 2387
289 1656212 3850
288 1651339 4873
287 1646154 5185
286 1632746 13408
285 1621408 11338
284 1613743 7665
283 1608120 5623
282 1601654 6466
281 1595916 5738
280 1588410 7506
279 1583103 5307
278 1580848 2255
277 1578875 1973
276 1575920 2955
275 1570875 5045
274 1570641 234
273 1563254 7387
272 1561646 1608
271 1556678 4968
270 1553441 3237
269 1546760 6681
268 1545158 1602
267 1543073 2085
266 1541100 1973
265 1536710 4390
264 1533442 3268
263 1533081 361
262 1527511 5570
261 1518759 8752
260 1514559 4200
259 1511793 2766
258 1509395 2398
257 1504995 4400
256 1504521 474
255 1503907 614
254 1503388 519
253 1502870 518
252 1497027 5843
251 1496564 463
250 1495965 599
249 1495508 457
248 1494709 799
247 1493904 805
246 1493390 514
245 1492849 541
244 1491954 895
243 1491115 839
242 1490432 683
241 1489490 942
240 1488661 829
239 1487667 994
238 1487241 426
237 1486708 533
236 1485751 957
235 1485286 465
234 1485135 151
233 1484990 145
232 1484853 137
231 1484696 157
230 1484537 159
229 1484405 132
228 1484265 140
227 1484130 135
226 1483001 1129
225 1481553 1448
224 1479849 1704
223 1473675 6174
222 1466519 7156
221 1437869 28650
220 1434117 3752
219 1430953 3164
218 1429463 1490
217 1427004 2459
216 1423902 3102
215 1419654 4248
214 1411845 7809
213 1401969 9876
212 1395687 6282
211 1394938 749
210 1394178 760
209 1393442 736
208 1392668 774
207 1391907 761
206 1391148 759
205 1389740 1408
204 1388398 1342
203 1386778 1620
202 1385402 1376
201 1384108 1294
200 1382685 1423
199 1381321 1364
198 1380559 762
197 1379808 751
196 1378418 1390
195 1376970 1448
194 1376162 808
193 1375364 798
192 1373931 1433
191 1373136 795
190 1371784 1352
189 1370435 1349
188 1369681 754
187 1368927 754
186 1367516 1411
185 1366750 766
184 1365408 1342
183 1364650 758
182 1360882 3768
181 1346022 14860
180 1343920 2102
179 1342835 1085
178 1339956 2879
177 1338011 1945
176 1313700 24311
175 1310584 3116
174 1307816 2768
173 1305814 2002
172 1301009 4805
171 1292729 8280
170 1280644 12085
169 1270975 9669
168 1269543 1432
167 1265889 3654
166 1262126 3763
77 471168 4018
76 469064 2104
75 465619 3445
74 462893 2726
73 451187 11706
72 435483 15704
71 430076 5407
70 426681 3395
69 422375 4306
68 418481 3894
67 416670 1811
66 412819 3851
65 404029 8790
64 392586 11443
63 388753 3833
62 380664 8089
61 376293 4371
60 373985 2308
59 368477 5508
58 360510 7967
57 355966 4544
56 351566 4400
55 341606 9960
54 336656 4950
53 334051 2605
52 327112 6939
51 323246 3866
50 318253 4993
49 312962 5291
48 295201 17761
47 273673 21528
46 264980 8693
45 258023 6957
44 249156 8867
43 244061 5095
42 240946 3115
41 238463 2483
40 222449 16014
39 217621 4828
38 214135 3486
37 207750 6385
36 205345 2405
15 108836 4462
14 101082 7754
13 97227 3855
12 90876 6351
11 89007 1869
10 83677 5330
9 73578 10099
8 61052 12526
7 56685 4367
6 47635 9050
1 16266 5244
0 0 16266
2 21510 2220
3 23730 8513
4 32243 12476
5 44719 2916
16 113298 5550
17 118848 2035
18 120883 4078
19 124961 3807
20 128768 2769
21 131537 3040
22 134577 9298
23 143875 4479
24 148354 2795
25 151149 2291
26 153440 9547
27 162987 4611
28 167598 5972
29 173570 7043
30 180613 5177
31 185790 3504
32 189294 3641
33 192935 2307
34 195242 4338
35 199580 5765
78 475186 2392
79 477578 9480
80 487058 2532
81 489590 2837
82 492427 4054
83 496481 3469
84 499950 2807
85 502757 13530
86 516287 3297
87 519584 888
88 520472 2933
89 523405 4230
90 527635 3153
91 530788 9790
92 540578 7604
93 548182 5862
94 554044 8174
95 562218 26575
96 588793 11914
97 600707 15268
98 615975 32814
99 648789 15195
100 663984 23186
101 687170 11547
102 698717 3659
103 702376 8206
104 710582 5694
105 716276 12029
106 728305 5421
107 733726 16464
108 750190 8304
109 758494 11510
110 770004 20346
111 790350 9543
112 799893 18459
113 818352 2418
114 820770 13062
115 833832 11090
116 844922 7182
117 852104 24299
118 876403 24302
119 900705 7676
120 908381 12774
121 921155 4474
122 925629 12406
123 938035 14164
124 952199 3972
125 956171 1978
126 958149 956
127 959105 14195
128 973300 7968
129 981268 30163
130 1011431 897
131 1012328 878
132 1013206 843
133 1014049 972
134 1015021 883
135 1015904 901
136 1016805 855
137 1017660 910
138 1018570 848
139 1019418 902
140 1020320 926
141 1021246 928
142 1022174 913
143 1023087 10127
144 1033214 11884
145 1045098 12239
146 1057337 9476
147 1066813 8945
148 1075758 7240
149 1082998 16645
150 1099643 14763
151 1114406 14237
152 1128643 21624
153 1150267 21193
154 1171460 18083
155 1189543 4743
156 1194286 8129
157 1202415 9971
158 1212386 1236
159 1213622 7443
160 1221065 16409
161 1237474 6687
162 1244161 8688
163 1252849 5291
164 1258140 2621
165 1260761 1365
